"StartTime","EndTime","Text"
"240","7040","hi in this video i'll show how to use"
"2800","9040","application for creating um vcf uh files"
"7040","12320","from xml you can see on my computer i"
"9040","14079","have xml file i'd like to convert to vcf"
"12320","16160","and basically it contains contact"
"14080","17750","information and"
"16160","19279","let's open it into"
"17750","21520","[Music]"
"19279","23920","internet explorer i can do right click"
"21520","26880","and internet explorer"
"23920","29519","and you can see it has a"
"26880","30640","some contact information first name last"
"29519","34160","name"
"30640","36559","uh organization url phone email and i"
"34160","39040","like to create vcf file with all this"
"36559","41120","data in order to do this oh i can also"
"39040","44160","open it into xml viewer it's a free app"
"41120","47038","it's showing what is inside an xml file"
"44160","49599","and you can see it's more like table"
"47039","51520","view i believe link on this app"
"49600","53680","in description it's showing what is"
"51520","56000","inside in xml"
"53680","56000","and"
"56879","62239","you can see it has all these tags"
"59520","64320","and this tags so they will be in in"
"62239","65280","conversion app but let me show you how"
"64319","67600","to do it"
"65280","69680","uh so first i will download application"
"67600","74320","from my website this is my website to"
"69680","76000","find app i will type xml to vcf"
"74320","77758","and click on"
"76000","80400","application page click on the load"
"77759","82479","button to start the loading process"
"80400","84880","and beta tell archive will be downloaded"
"82479","87119","on my computer"
"84880","88798","i will be recording more videos on vcf"
"87119","90479","files and"
"88799","92400","conversion uh"
"90479","94320","to and from this file so if you are"
"92400","97720","interested please consider subscribing"
"94320","97720","to my channel"
"102640","106560","yeah we are waiting file you can see"
"104960","108720","archive has been downloaded i'll click"
"106560","110720","on downloaded archive"
"108720","113759","and then double click on msi inside"
"110720","114399","archive and click on more info on this"
"113759","116240","screen"
"114399","117759","i'm getting the screen from windows"
"116240","119600","because i'm not registered publisher is"
"117759","121680","microsoft you can see publisher unknown"
"119600","123759","so i just click run anyway to start"
"121680","127360","installation"
"123759","130000","click on next next install click on yes"
"127360","131440","and click finish on final screen"
"130000","132959","and you can see application has been"
"131440","135520","installed on my computer have a new"
"132959","137440","shortcut on my desktop now i can close"
"135520","139280","this this this and double click on"
"137440","142400","shortcut to launch app"
"139280","144640","now if if you'd like to have a similar"
"142400","147360","file or if you'd like to see this"
"144640","149359","contact xml file you can click on this"
"147360","152720","link to download it and it will be"
"149360","154319","downloaded in your computer right now"
"152720","156400","so after"
"154319","158079","application launched step"
"156400","160319","conversion is three steps process in"
"158080","163040","step one we will have to select"
"160319","165359","um xml file we would like to convert so"
"163040","168560","i click on this button navigate to my"
"165360","168560","xml file"
"169360","176879","it called my contacts xml i think my"
